"ndc","rxcui","va"
"00173089310",2395775,"RE109"
"00178090190",2178081,"GU900"
"00185-0122-01",1648755,"AM600"
"00185005501",311671,"CV701"
"00185012201",1648755,"AM600"
"00185012210",1648755,"AM600"
"00185012801",197417,"CV702"
"00185017301",197887,"CV400"
"00185021101",898367,"CV400"
"00185041501",993518,"CN609"
"00185067401",995253,"AH105"
"00185067405",995253,"AH105"
"00185067601",995278,"AH105"
"00185067605",995278,"AH105"
"00185084201",541892,"CN801"
"00185085301",577961,"CN801"
"00185209801",541878,"CN801"
"00185209901",541363,"CN801"
"00185440051",313413,"MS200"
"00186037020",1246306,"RE109"
"00186037220",1246290,"RE109"
"00186037228",1246315,"RE109"
"00186077760",1116639,"BL117"
"00186091612",966524,"RE101"
"00186091706",966529,"RE101"
"00187000201",2101715,"DE200"
"00187209845",2267566,"DE752"
"00187305050",1598826,"DE752"
"00187514650",1987646,"DE752"
"00193658621",223314,NA
"00193670201",1918396,NA
"00193709021",825086,NA
"00193725201",2467627,NA
"00193731025",2004402,NA
"00193731150",2004402,NA
"00193731221",2004402,NA
"00193737701",1368939,NA
"00193737901",1368939,NA
"00193755301",2467627,NA
"00193781801",1864257,NA
"00228158003",1098608,"CN400"
"00228163803",1146690,"CN400"
"00228202710",308047,"CN302"
"00228202750",308047,"CN302"
"00228202796",308047,"CN302"
"00228202910",308048,"CN302"
"00228202950",308048,"CN302"
"00228202996",308048,"CN302"
"00228203110",197321,"CN302"
"00228203150",197321,"CN302"
"00228203196",197321,"CN302"
"00228203910",197322,"CN302"
"00228206710",198057,"CN302"
"00228207610",198241,"CN302"
"00228207710",198242,"CN302"
"00228212710",884173,"CV490"
"00228212750",884173,"CV490"
"00228212810",884185,"CV490"
"00228212910",884189,"CV490"
"00228234810",198175,"HS852"
"00228255006",855906,"MS102"
"00228257111",197816,"CV701"
"00228259711",197815,"CV701"
"00228263750",310434,"CN400"
"00228263750",310434,"CN900"
"00228277811",856535,"CV100"
"00228277911",856569,"CV100"
"00228278011",856460,"CV100"
"00228282011",429503,"CV701"
"00228283711",1001004,"AU300"
"00228284803",903873,"CN609"
"00228284903",903879,"CN609"
"00228285011",862006,"AU100"
"00228285111",862013,"AU100"
"00228285311",862019,"AU100"
"00228285511",862025,"AU100"
"00228285709",483448,"CN900"
"00228305911",861221,"CN801"
"00228306011",861225,"CN801"
"00228306111",861232,"CN801"
"00228306211",861237,"CN801"
"00228306311",861223,"CN801"
"00228306411",861227,"CN801"
"00228315303",351265,"CN101"
"00228424106",1013930,"CV490"
"00245003623",848951,"CV350"
"00245003660",848951,"CV350"
"00245007111",199381,"TN478"
"00245014701",834346,"CV300"
"00245021111",993466,"CV900"
"00245021211",993470,"CV900"
"00245021311",993462,"CV900"
"00245036030",1867547,"TN430"
"00245055650",2047868,"CN400"
"00245057501",197845,"DE751"
"00245081261",2178073,"CN105"
"00245531611",628958,"TN430"
"00245531615",628958,"TN430"
"00245531711",1801299,"TN430"
"00245531910",1801295,"TN430"
"00245531911",1801295,"TN430"
"00254100752",2123111,"RE102"
"00254101196",313123,"GA302"
"00254200801",197541,"MS400"
"00254204502",1482908,"AM700"
"00281032660",207273,"CV250"
"00299382230",901401,"AM250"
"00299382345",1598073,"DE752"
"00299590645",1663747,"DE752"
"00299593545",2205647,"DE752"
"00310-6210-30",1486977,"HS502"
"00310-7370-20",1246304,"RE109"
"00310067960",1942489,"AN300"
"00310111030",2053927,"AD400"
"00310461612",2387331,"RE109"
"00310620530",1486981,"HS502"
"00310621030",1486977,"HS502"
"00310626060",1593833,"HS502"
"00310628030",1593775,"HS502"
"00310654004",1990869,"HS500"
"00310737020",1246304,"RE109"
"00310737220",1246288,"RE109"
"00316012601",206347,"DE200"
"00316019316",310891,"DE200"
"00316022360",1053753,"DE250"
"00363015798",212033,"CN103"
"00363089488",198031,"AD900"
"00363089653",198030,"AD900"
"00363237102",NA,NA
"00363645014",308416,"CN103"
"00363645014",308416,"GA110"
"00378-0477-05",197589,"CN302"
"00378-3360-99",403922,"HS300"
"00378-6233-01",309314,"CN609"
"00378-6855-77",854830,"CN801"
"00378-7272-53",748961,"HS800"
"00378-8270-91",630208,"RE102"
"00378001401",105585,"AN300"
"00378001805",866924,"CV100"
"00378003201",866514,"CV100"
"00378003210",866514,"CV100"
"00378004710",866511,"CV100"
"00378005301",197505,"GA301"
"00378013710",197319,"MS400"
"00378014491",198240,"AN500"
"00378015210",884173,"CV490"
"00378018101",197320,"MS400"
"00378018105",197320,"MS400"
"00378020810",310429,"CV702"
"00378021610",313988,"CV702"
"00378021801",197380,"CV100"
"00378027105",197590,"CN302"
"00378027493",313195,"AN500"
"00378034501",197591,"CN302"
"00378034505",197591,"CN302"
"00378037201",197507,"GA301"
"00378040301",198224,"CV704"
"00378041501",1190572,"GA208"
"00378041510",1190572,"GA208"
"00378042401",866482,"CV400"
"00378043401",866479,"CV400"
"00378047701",197589,"CN302"
"00378047705",197589,"CN302"
"00378054101",197508,"GA301"
"00378064010",312617,"HS051"
"00378064110",198145,"HS051"
"00378064205",312615,"HS051"
"00378064210",312615,"HS051"
"00378087199",998671,"CV490"
"00378107793",876529,"CV400"
